,Country,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family/Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
0,Finland,2019,1,7.769,1.34,1.587,0.986,0.596,0.39299999999999996,0.153
1,Denmark,2019,2,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.41,0.252
2,Norway,2019,3,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.341,0.271
3,Iceland,2019,4,7.494,1.38,1.624,1.026,0.591,0.11800000000000001,0.354
4,Netherlands,2019,5,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.298,0.322
5,Switzerland,2019,6,7.48,1.452,1.526,1.052,0.5720000000000001,0.34299999999999997,0.263
6,Sweden,2019,7,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.373,0.267
7,New Zealand,2019,8,7.307,1.3030000000000002,1.557,1.026,0.585,0.38,0.33
8,Canada,2019,9,7.278,1.365,1.505,1.0390000000000001,0.584,0.308,0.285
9,Austria,2019,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244
10,Australia,2019,11,7.228,1.3719999999999999,1.548,1.036,0.557,0.29,0.332
11,Costa Rica,2019,12,7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,0.09300000000000001,0.14400000000000002
12,Israel,2019,13,7.138999999999999,1.276,1.455,1.0290000000000001,0.371,0.08199999999999999,0.261
13,Luxembourg,2019,14,7.09,1.609,1.479,1.012,0.526,0.316,0.19399999999999998
14,United Kingdom,2019,15,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.278,0.348
15,Ireland,2019,16,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.31,0.298
16,Germany,2019,17,6.985,1.3730000000000002,1.454,0.987,0.495,0.265,0.261
17,Belgium,2019,18,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.21,0.16
18,United States,2019,19,6.892,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.128,0.28
19,Czech Republic,2019,20,6.852,1.2690000000000001,1.4869999999999999,0.92,0.457,0.036000000000000004,0.046
20,United Arab Emirates,2019,21,6.825,1.5030000000000001,1.31,0.825,0.598,0.182,0.262
21,Malta,2019,22,6.726,1.3,1.52,0.9990000000000001,0.564,0.151,0.375
22,Mexico,2019,23,6.595,1.07,1.3230000000000002,0.861,0.433,0.073,0.07400000000000001
23,France,2019,24,6.5920000000000005,1.324,1.472,1.045,0.436,0.183,0.111
24,Taiwan,2019,25,6.446000000000001,1.368,1.43,0.914,0.35100000000000003,0.09699999999999999,0.242
25,Chile,2019,26,6.444,1.159,1.369,0.92,0.35700000000000004,0.055999999999999994,0.187
26,Guatemala,2019,27,6.436,0.8,1.2690000000000001,0.746,0.535,0.078,0.175
27,Saudi Arabia,2019,28,6.375,1.403,1.357,0.795,0.439,0.132,0.08
28,Qatar,2019,29,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,0.16699999999999998,0.22
29,Spain,2019,30,6.354,1.286,1.484,1.062,0.36200000000000004,0.079,0.153
30,Panama,2019,31,6.321000000000001,1.149,1.442,0.91,0.516,0.054000000000000006,0.109
31,Brazil,2019,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099
32,Uruguay,2019,33,6.292999999999999,1.124,1.465,0.8909999999999999,0.523,0.15,0.127
33,Singapore,2019,34,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.45299999999999996,0.271
34,El Salvador,2019,35,6.252999999999999,0.794,1.242,0.789,0.43,0.07400000000000001,0.09300000000000001
35,Italy,2019,36,6.223,1.294,1.4880000000000002,1.0390000000000001,0.231,0.03,0.158
36,Bahrain,2019,37,6.199,1.3619999999999999,1.368,0.871,0.536,0.11,0.255
37,Slovakia,2019,38,6.1979999999999995,1.246,1.504,0.8809999999999999,0.33399999999999996,0.013999999999999999,0.121
38,Trinidad & Tobago,2019,39,6.192,1.2309999999999999,1.4769999999999999,0.713,0.489,0.016,0.185
39,Poland,2019,40,6.182,1.206,1.4380000000000002,0.884,0.483,0.05,0.11699999999999999
40,Uzbekistan,2019,41,6.1739999999999995,0.745,1.5290000000000001,0.7559999999999999,0.631,0.24,0.322
41,Lithuania,2019,42,6.149,1.238,1.515,0.818,0.29100000000000004,0.042,0.043
42,Colombia,2019,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099
43,Slovenia,2019,44,6.117999999999999,1.258,1.5230000000000001,0.953,0.564,0.057,0.14400000000000002
44,Nicaragua,2019,45,6.105,0.6940000000000001,1.325,0.835,0.435,0.127,0.2
45,Kosovo,2019,46,6.1,0.882,1.232,0.758,0.489,0.006,0.262
46,Argentina,2019,47,6.086,1.092,1.432,0.8809999999999999,0.47100000000000003,0.05,0.066
47,Romania,2019,48,6.07,1.162,1.232,0.825,0.462,0.005,0.083
48,Cyprus,2019,49,6.046,1.263,1.2229999999999999,1.042,0.406,0.040999999999999995,0.19
49,Ecuador,2019,50,6.028,0.912,1.3119999999999998,0.868,0.498,0.087,0.126
50,Kuwait,2019,51,6.021,1.5,1.319,0.8079999999999999,0.493,0.09699999999999999,0.142
51,Thailand,2019,52,6.007999999999999,1.05,1.409,0.828,0.557,0.027999999999999997,0.359
52,Latvia,2019,53,5.94,1.187,1.465,0.812,0.264,0.064,0.075
53,South Korea,2019,54,5.895,1.301,1.219,1.036,0.159,0.055999999999999994,0.175
54,Estonia,2019,55,5.893,1.237,1.528,0.8740000000000001,0.495,0.161,0.10300000000000001
55,Jamaica,2019,56,5.89,0.831,1.4780000000000002,0.831,0.49,0.027999999999999997,0.107
56,Mauritius,2019,57,5.888,1.12,1.402,0.7979999999999999,0.498,0.06,0.215
57,Japan,2019,58,5.886,1.327,1.419,1.088,0.445,0.14,0.069
58,Honduras,2019,59,5.86,0.642,1.236,0.828,0.507,0.078,0.24600000000000002
59,Kazakhstan,2019,60,5.809,1.173,1.508,0.7290000000000001,0.41,0.096,0.146
60,Bolivia,2019,61,5.779,0.7759999999999999,1.209,0.706,0.511,0.064,0.13699999999999998
61,Hungary,2019,62,5.757999999999999,1.2009999999999998,1.41,0.828,0.19899999999999998,0.02,0.081
62,Paraguay,2019,63,5.742999999999999,0.855,1.475,0.777,0.514,0.08,0.184
63,Northern Cyprus,2019,64,5.718,1.263,1.252,1.042,0.41700000000000004,0.162,0.191
64,Peru,2019,65,5.697,0.96,1.274,0.8540000000000001,0.455,0.027000000000000003,0.083
65,Portugal,2019,66,5.693,1.2209999999999999,1.431,0.9990000000000001,0.508,0.025,0.047
66,Pakistan,2019,67,5.653,0.677,0.8859999999999999,0.535,0.313,0.098,0.22
67,Russia,2019,68,5.648,1.183,1.452,0.726,0.33399999999999996,0.031,0.08199999999999999
68,Philippines,2019,69,5.631,0.807,1.2930000000000001,0.657,0.5579999999999999,0.107,0.11699999999999999
69,Serbia,2019,70,5.603,1.004,1.383,0.8540000000000001,0.282,0.039,0.13699999999999998
70,Moldova,2019,71,5.529,0.685,1.328,0.7390000000000001,0.245,0.0,0.18100000000000002
71,Libya,2019,72,5.525,1.044,1.3030000000000002,0.6729999999999999,0.41600000000000004,0.152,0.133
72,Montenegro,2019,73,5.523,1.051,1.361,0.871,0.19699999999999998,0.08,0.142
73,Tajikistan,2019,74,5.4670000000000005,0.493,1.0979999999999999,0.718,0.389,0.14400000000000002,0.23
74,Croatia,2019,75,5.432,1.155,1.266,0.914,0.29600000000000004,0.022000000000000002,0.11900000000000001
75,Hong Kong,2019,76,5.43,1.4380000000000002,1.2770000000000001,1.122,0.44,0.287,0.258
76,Dominican Republic,2019,77,5.425,1.015,1.401,0.779,0.49700000000000005,0.10099999999999999,0.113
77,Bosnia and Herzegovina,2019,78,5.386,0.945,1.212,0.845,0.212,0.006,0.263
78,Turkey,2019,79,5.372999999999999,1.183,1.36,0.8079999999999999,0.195,0.106,0.083
79,Malaysia,2019,80,5.3389999999999995,1.2209999999999999,1.171,0.828,0.508,0.024,0.26
80,Belarus,2019,81,5.3229999999999995,1.067,1.465,0.789,0.235,0.142,0.094
81,Greece,2019,82,5.287000000000001,1.181,1.156,0.9990000000000001,0.067,0.034,0.0
82,Mongolia,2019,83,5.285,0.948,1.531,0.667,0.317,0.038,0.235
83,North Macedonia,2019,84,5.274,0.983,1.294,0.838,0.345,0.034,0.185
84,Nigeria,2019,85,5.265,0.696,1.111,0.245,0.426,0.040999999999999995,0.215
85,Kyrgyzstan,2019,86,5.261,0.551,1.4380000000000002,0.723,0.508,0.023,0.3
86,Turkmenistan,2019,87,5.247000000000001,1.052,1.538,0.657,0.39399999999999996,0.027999999999999997,0.244
87,Algeria,2019,88,5.211,1.002,1.16,0.785,0.086,0.114,0.073
88,Morocco,2019,89,5.207999999999999,0.8009999999999999,0.782,0.782,0.418,0.076,0.036000000000000004
89,Azerbaijan,2019,90,5.207999999999999,1.043,1.147,0.769,0.35100000000000003,0.182,0.035
90,Lebanon,2019,91,5.197,0.987,1.224,0.815,0.21600000000000003,0.027000000000000003,0.166
91,Indonesia,2019,92,5.192,0.9309999999999999,1.203,0.66,0.491,0.027999999999999997,0.498
92,China,2019,93,5.191,1.0290000000000001,1.125,0.893,0.521,0.1,0.057999999999999996
93,Vietnam,2019,94,5.175,0.741,1.3459999999999999,0.851,0.5429999999999999,0.073,0.147
94,Bhutan,2019,95,5.082,0.813,1.321,0.604,0.457,0.16699999999999998,0.37
95,Cameroon,2019,96,5.044,0.5489999999999999,0.91,0.331,0.381,0.037000000000000005,0.187
96,Bulgaria,2019,97,5.011,1.092,1.5130000000000001,0.815,0.311,0.004,0.081
97,Ghana,2019,98,4.996,0.611,0.868,0.486,0.381,0.04,0.245
98,Ivory Coast,2019,99,4.944,0.569,0.8079999999999999,0.23199999999999998,0.35200000000000004,0.09,0.154
99,Nepal,2019,100,4.913,0.446,1.226,0.677,0.439,0.08900000000000001,0.285
100,Jordan,2019,101,4.906000000000001,0.8370000000000001,1.225,0.815,0.38299999999999995,0.13,0.11
101,Benin,2019,102,4.883,0.39299999999999996,0.43700000000000006,0.397,0.349,0.08199999999999999,0.175
102,Congo (Brazzaville),2019,103,4.812,0.6729999999999999,0.799,0.508,0.37200000000000005,0.09300000000000001,0.105
103,Gabon,2019,104,4.7989999999999995,1.057,1.183,0.5710000000000001,0.295,0.055,0.043
104,Laos,2019,105,4.796,0.764,1.03,0.551,0.547,0.16399999999999998,0.266
105,South Africa,2019,106,4.7219999999999995,0.96,1.351,0.469,0.389,0.055,0.13
106,Albania,2019,107,4.718999999999999,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.027000000000000003,0.17800000000000002
107,Venezuela,2019,108,4.707,0.96,1.4269999999999998,0.805,0.154,0.047,0.064
108,Cambodia,2019,109,4.7,0.574,1.122,0.637,0.609,0.062,0.23199999999999998
109,Palestinian Territories,2019,110,4.696000000000001,0.657,1.247,0.672,0.225,0.066,0.10300000000000001
110,Senegal,2019,111,4.681,0.45,1.1340000000000001,0.5710000000000001,0.292,0.07200000000000001,0.153
111,Somalia,2019,112,4.668,0.0,0.698,0.268,0.5589999999999999,0.27,0.243
112,Namibia,2019,113,4.638999999999999,0.879,1.3130000000000002,0.47700000000000004,0.401,0.055999999999999994,0.07
113,Niger,2019,114,4.628,0.138,0.774,0.366,0.318,0.102,0.188
114,Burkina Faso,2019,115,4.587,0.331,1.056,0.38,0.255,0.113,0.177
115,Armenia,2019,116,4.559,0.85,1.055,0.815,0.28300000000000003,0.064,0.095
116,Iran,2019,117,4.548,1.1,0.8420000000000001,0.785,0.305,0.125,0.27
117,Guinea,2019,118,4.534,0.38,0.8290000000000001,0.375,0.332,0.086,0.207
118,Georgia,2019,119,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.16399999999999998,0.043
119,Gambia,2019,120,4.516,0.308,0.9390000000000001,0.428,0.382,0.16699999999999998,0.26899999999999996
120,Kenya,2019,121,4.5089999999999995,0.512,0.983,0.581,0.431,0.053,0.37200000000000005
121,Mauritania,2019,122,4.49,0.57,1.167,0.489,0.066,0.08800000000000001,0.106
122,Mozambique,2019,123,4.466,0.204,0.986,0.39,0.494,0.138,0.19699999999999998
123,Tunisia,2019,124,4.461,0.9209999999999999,1.0,0.815,0.16699999999999998,0.055,0.059000000000000004
124,Bangladesh,2019,125,4.456,0.562,0.9279999999999999,0.723,0.527,0.14300000000000002,0.166
125,Iraq,2019,126,4.437,1.043,0.98,0.574,0.24100000000000002,0.08900000000000001,0.14800000000000002
126,Congo (Kinshasa),2019,127,4.418,0.094,1.125,0.35700000000000004,0.26899999999999996,0.053,0.212
127,Mali,2019,128,4.39,0.385,1.105,0.308,0.327,0.052000000000000005,0.153
128,Sierra Leone,2019,129,4.374,0.268,0.841,0.242,0.309,0.045,0.252
129,Sri Lanka,2019,130,4.3660000000000005,0.9490000000000001,1.265,0.831,0.47,0.047,0.244
130,Myanmar,2019,131,4.36,0.71,1.181,0.555,0.525,0.172,0.5660000000000001
131,Chad,2019,132,4.35,0.35,0.7659999999999999,0.192,0.174,0.078,0.198
132,Ukraine,2019,133,4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,0.01,0.187
133,Ethiopia,2019,134,4.2860000000000005,0.336,1.033,0.532,0.344,0.1,0.209
134,Swaziland,2019,135,4.212,0.8109999999999999,1.149,0.0,0.313,0.135,0.07400000000000001
135,Uganda,2019,136,4.189,0.332,1.069,0.44299999999999995,0.35600000000000004,0.06,0.252
136,Egypt,2019,137,4.166,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.067,0.076
137,Zambia,2019,138,4.107,0.578,1.058,0.426,0.431,0.087,0.247
138,Togo,2019,139,4.085,0.275,0.5720000000000001,0.41,0.293,0.085,0.177
139,India,2019,140,4.015,0.755,0.765,0.588,0.498,0.085,0.2
140,Liberia,2019,141,3.975,0.073,0.922,0.44299999999999995,0.37,0.033,0.233
141,Comoros,2019,142,3.9730000000000003,0.27399999999999997,0.757,0.505,0.142,0.078,0.275
142,Madagascar,2019,143,3.9330000000000003,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.040999999999999995,0.16899999999999998
143,Lesotho,2019,144,3.802,0.489,1.169,0.168,0.359,0.09300000000000001,0.107
144,Burundi,2019,145,3.775,0.046,0.447,0.38,0.22,0.18,0.17600000000000002
145,Zimbabwe,2019,146,3.6630000000000003,0.366,1.114,0.433,0.361,0.08900000000000001,0.151
146,Haiti,2019,147,3.597,0.32299999999999995,0.688,0.449,0.026000000000000002,0.11,0.419
147,Botswana,2019,148,3.488,1.041,1.145,0.5379999999999999,0.455,0.1,0.025
148,Syria,2019,149,3.4619999999999997,0.619,0.37799999999999995,0.44,0.013000000000000001,0.141,0.331
149,Malawi,2019,150,3.41,0.191,0.56,0.495,0.44299999999999995,0.08900000000000001,0.218
150,Yemen,2019,151,3.38,0.287,1.163,0.46299999999999997,0.14300000000000002,0.077,0.10800000000000001
151,Rwanda,2019,152,3.3339999999999996,0.359,0.711,0.614,0.555,0.41100000000000003,0.217
152,Tanzania,2019,153,3.2310000000000003,0.47600000000000003,0.885,0.499,0.41700000000000004,0.147,0.276
153,Afghanistan,2019,154,3.2030000000000003,0.35,0.517,0.361,0.0,0.025,0.158
154,Central African Republic,2019,155,3.083,0.026000000000000002,0.0,0.105,0.225,0.035,0.235
155,South Sudan,2019,156,2.853,0.306,0.575,0.295,0.01,0.091,0.20199999999999999
